Nazwa produktu	białka	tłuszcze	węglowodany
Papryka zielona	1.1	0.3	4.6
Pasternak	1.6	0.6	15.5
Pasztet pieczony	17	31.2	13.5
Pasztet podlaski z kurczaka	6.7	21.1	3.6
Pasztet z kurczaka	14.4	14.3	7.5
Pestki dyni	24.5	45.8	18
Pestki słonecznika	24.4	43.7	24.6
Pesto	3.7	34.6	6.3
Pieczarki	2.7	0.4	2.6
Pieczarki marynowane konserwowe	2.3	0.4	4.3
Pieczeń wołowa	20.9	3.6	0
Pieczona polędwica wołowa	19.7	9.9	0
Pieczywo tostowe	8.1	4.7	58.8
Pieczywo tostowe grahamowe	7.5	4.2	53.8
Pieczywo Wasa	10	3	70
Pieprz biały	10	2.1	69
Pieprz czarny	11	3.3	65
Pieprz czerwony	12	17	57
Pierś indyka bez skóry	19.2	0.7	0
Pierś indyka ze skórą	18.7	2.7	0
Pierś kurczaka bez skóry	21.5	1.3	0
Pietruszka	2.6	0.5	10.5
Pikle konserwowe	1.3	0.2	15.5
Płatki jaglane	10	4	69
Płatki jęczmienne	9.8	3.6	79.4
Płatki kukurydziane	6.9	2.5	83.6
Płatki migdałowe	22	51	10
Płatki owsiane	11.9	7.2	69.3
Płatki pszenne	9	3	81
Płatki ryżowe	6.7	0.7	78.9
Płatki żytnie	6.4	3.2	82.6
Podudzie indyka bez skóry	16.6	3.7	0
Polędwica łososiowa	20	2	2
Polędwica luksusowa	19.5	10	2.4
Polędwica sopocka	19.9	9.1	0.9
Polędwica wołowa	20.1	3.5	0
Polędwica z indyka	15.8	4.6	0.1
Polędwica z piersi kurczaka	20.4	1.2	0
Pomarańcza	0.9	0.2	11.3
Pomidor	0.9	0.2	3.6
Pomidory koktajlowe	0.9	0.2	3.6
Pomidory z puszki	1.3	0.2	4
Por	2.2	0.3	5.7
Porzeczki białe	1	0.2	13.1
Porzeczki czarne	1.3	0.2	14.9
Porzeczki czerwone	1.1	0.2	13.8
Powidła śliwkowe	1	0.2	53
Poziomki	0.8	0.5	8.3
Proszek do pieczenia	0.1	0.4	47
Przecier pomidorowy	1.2	0.1	4.5
Przyprawa do drobiu	9.6	7.5	66
Przyprawa do ryb	9.6	7.5	66
Przyprawa "Jarzynka"	1.9	0.4	23.3
Pstrąg strumieniowy świeży	19.2	2.1	0
Pstrąg tęczowy świeży	18.6	9.6	0
Pstrąg wędzony	19.4	4.4	0.2
Pumpernikiel	5.9	2	58.2
Rabarbar	0.5	0.1	4.6
Rodzynki suszone	2.3	0.5	71.2
Rostbef wołowy	21.5	7.3	0
Rozmaryn	4.9	15	64
Rukola	2.6	0.7	3.7
Ryż biały	6.7	0.7	78.9
Ryż brązowy	7.1	1.9	76.8
Rzepa	1.1	0.3	8.2
Rzeżucha	2.6	0.7	5.5
Rzodkiewka	1	0.2	4.4
Salami	21.9	50.6	0.9
Salami popularne	21.6	53.7	1.4
Salami z pieprzem	17	37	1
Sałata	1.4	0.2	2.9
Sałata lodowa	0.9	0.1	3
Sałata rzymska	1.2	0	3
Sandacz świeży	19.2	0.7	0
Sardynki w oleju	24.1	13.9	0
Sardynki w pomidorach	17	9.9	1.4
Schab pieczony	30.4	18.7	0.7
Seler konserwowy	0.7	0.1	5.4
Seler korzeniowy	1.6	0.3	7.7
Seler naciowy	1	0.2	3.6
Ser Brie pełnotłusty	19.8	28	0.2
Ser Camembert pełnotłusty	21.4	23	0.2
Ser Cheddar pełnotłusty	27.1	31.7	0.1
Ser Edamski pełnotłusty	26.1	23.4	0.1
Serek homogenizowany	12.7	11	3
Serek homogenizowany waniliowy	16.8	4.2	13.3
Serek twarogowy ziarnisty	12.3	4.3	3.3
Serek typu "Fromage" naturalny	10.2	37.1	2.4
Ser Ementaler pełnotłusty	28.8	29.7	0.1
Ser Gouda pełnotłusty	27.9	22.9	0.1
Ser kozi	21.4	33.9	0
Ser kozi. twarożek	8.7	14	4
Ser Mascarpone	3.5	40	5.1
Ser mozzarella	24	16	3
Ser mozzarella light	19	8.5	1
Ser Parmezan	41.5	32	0.1
Ser Radamer	26.2	26	0.1
Ser Rokpol pełnotłusty	22.6	30.6	0.1
Ser Salami pełnotłusty	25.2	28.1	0.1
Ser topiony	13.5	27	1.2
Ser Trapistów pełnotłusty	23.5	30.7	0.1
Ser Trapistów tłusty	28	26.8	0.1
Ser twarogowy chudy	19.8	0.5	3.5
Ser twarogowy półtłusty	18.7	4.7	3.7
Ser twarogowy tłusty	17.7	10.1	3.5
Ser Tylżycki pełnotłusty	26.1	27.9	0.1
Ser typu "Feta"	17	16	1
Sezam	23.2	59.9	10
